Country,Year,Attack_ID,Target Industry,Financial Loss in Million  Doller,  Number of Affected Users  ,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2020,RWS34,Government,52.28 ," 3,76,628 ",Unknown,Zero-day,Firewall,30
Russia,2020,SI657,Telecommunications,35.02 ," 3,77,194 ",Unknown,Weak Passwords,Firewall,50
France,2017,PH01,Retail,43.20 ," 3,77,252 ",Nation-state,Unpatched Software,Encryption,8
Brazil,2022,ML345,IT,19.26 ," 3,77,446 ",Unknown,Zero-day,AI-based Detection,12
USA,2015,MIM65,Retail,95.66 ," 3,77,602 ",Nation-state,Zero-day,Firewall,15
Brazil,2017,ML345,Telecommunications,73.71 ,"  3,77,769  ",Hacker Group,Zero-day,Firewall,38
USA,2019,SI657,IT,17.81 ," 3,78,105 ",Unknown,Weak Passwords,Encryption,4
Brazil,2016,MIM65,Banking,70.89 ," 3,78,949 ",Unknown,Weak Passwords,AI-based Detection,67
UK,2022,SI657,IT,32.17 ," 3,79,954 ",Insider,Unpatched Software,Firewall,9
India,2023,SI657,IT,92.35 ," 3,80,022 ",Unknown,Unpatched Software,Encryption,30
France,2021,PH01,Retail,31.52 ," 3,80,086 ",Nation-state,Social Engineering,Encryption,65
Russia,2018,SI657,Banking,59.29 ," 3,80,543 ",Unknown,Weak Passwords,VPN,26
Japan,2021,RWS34,Healthcare,77.33 ," 3,80,970 ",Nation-state,Weak Passwords,Encryption,44
France,2016,PH01,Education,37.57 ," 3,80,995 ",Unknown,Weak Passwords,VPN,60
Brazil,2019,SI657,Government,24.93 ," 3,81,105 ",Unknown,Weak Passwords,Encryption,3
Brazil,2016,PH01,Education,97.98 ," 3,81,599 ",Unknown,Weak Passwords,Encryption,66
France,2017,DD678,Telecommunications,13.31 ," 3,81,948 ",Unknown,Weak Passwords,AI-based Detection,46
India,2018,RWS34,Retail,56.06 ," 3,82,041 ",Unknown,Weak Passwords,Encryption,4
Russia,2020,DD678,Healthcare,49.02 ," 3,82,327 ",Insider,Zero-day,VPN,30
USA,2022,PH01,IT,59.70 ," 3,82,379 ",Nation-state,Unpatched Software,Firewall,2
Australia,2016,MIM65,Education,37.48 ," 3,82,682 ",Nation-state,Zero-day,Firewall,12
UK,2022,RWS34,Education,4.29 ," 3,83,246 ",Nation-state,Unpatched Software,VPN,45
Japan,2017,PH01,Telecommunications,75.84 ,"  3,83,395  ",Hacker Group,Zero-day,VPN,31
France,2015,PH01,Healthcare,41.92 ," 3,83,484 ",Unknown,Unpatched Software,VPN,52
China,2023,PH01,Banking,55.94 ," 3,83,589 ",Unknown,Weak Passwords,Firewall,7
Germany,2021,SI657,Retail,27.54 ," 3,83,781 ",Nation-state,Zero-day,Antivirus,57
Germany,2022,PH01,Government,58.98 ," 3,83,945 ",Nation-state,Zero-day,Encryption,49
UK,2019,MIM65,IT,35.37 ," 3,84,185 ",Insider,Weak Passwords,Firewall,71
Brazil,2020,DD678,Education,26.57 ," 3,84,988 ",Insider,Zero-day,AI-based Detection,19
Germany,2016,RWS34,Education,29.89 ," 3,85,363 ",Unknown,Unpatched Software,Firewall,22
China,2016,SI657,Banking,63.67 ," 3,85,872 ",Insider,Zero-day,Firewall,50
UK,2020,SI657,Education,35.57 ," 3,86,093 ",Unknown,Unpatched Software,VPN,42
China,2018,RWS34,Banking,43.98 ," 3,86,308 ",Nation-state,Weak Passwords,Antivirus,3
USA,2021,ML345,Healthcare,49.73 ," 3,86,686 ",Insider,Zero-day,AI-based Detection,7
Russia,2019,MIM65,Education,6.79 ," 3,86,691 ",Nation-state,Weak Passwords,AI-based Detection,20
India,2021,RWS34,Government,9.54 ," 3,86,911 ",Insider,Social Engineering,Antivirus,33
UK,2023,ML345,IT,82.38 ," 3,86,972 ",Insider,Unpatched Software,AI-based Detection,56
Japan,2022,DD678,Healthcare,9.50 ," 3,87,457 ",Nation-state,Weak Passwords,VPN,61
Germany,2016,SI657,Education,61.78 ," 3,87,500 ",Nation-state,Weak Passwords,AI-based Detection,30
Russia,2017,PH01,IT,53.07 ," 3,88,154 ",Nation-state,Zero-day,AI-based Detection,29
Australia,2023,RWS34,Healthcare,21.54 ," 3,88,211 ",Nation-state,Weak Passwords,Antivirus,22
France,2017,PH01,Healthcare,4.87 ," 3,88,325 ",Nation-state,Social Engineering,AI-based Detection,39
China,2020,SI657,Healthcare,11.55 ," 3,88,591 ",Unknown,Zero-day,Antivirus,68
USA,2022,DD678,Healthcare,56.89 ," 3,88,698 ",Nation-state,Social Engineering,VPN,35
Japan,2018,DD678,Telecommunications,99.04 ," 3,89,405 ",Nation-state,Weak Passwords,Antivirus,53
France,2017,ML345,Telecommunications,96.63 ," 3,89,525 ",Unknown,Zero-day,Antivirus,32
Australia,2015,PH01,Government,60.68 ," 3,89,782 ",Insider,Social Engineering,Firewall,45
Australia,2022,DD678,Telecommunications,86.77 ," 3,90,083 ",Nation-state,Social Engineering,VPN,72
Brazil,2023,DD678,IT,84.19 ," 3,90,409 ",Insider,Zero-day,AI-based Detection,31
Japan,2023,SI657,Government,69.61 ," 3,91,049 ",Unknown,Weak Passwords,Antivirus,35
Australia,2021,ML345,IT,84.74 ,"  3,91,257  ",Hacker Group,Zero-day,AI-based Detection,66
USA,2015,DD678,Retail,76.95 ," 3,91,982 ",Unknown,Social Engineering,Firewall,46
Germany,2020,MIM65,IT,84.55 ," 3,92,247 ",Unknown,Zero-day,Antivirus,7
India,2016,ML345,Banking,11.81 ," 3,92,365 ",Insider,Social Engineering,Antivirus,72
Japan,2022,SI657,Retail,43.73 ," 3,92,831 ",Nation-state,Weak Passwords,AI-based Detection,71
Brazil,2016,SI657,Telecommunications,73.76 ," 3,93,189 ",Unknown,Zero-day,Antivirus,37
UK,2024,PH01,Government,30.68 ," 3,93,201 ",Nation-state,Social Engineering,Firewall,3
Australia,2021,MIM65,Telecommunications,67.72 ,"  3,93,335  ",Hacker Group,Social Engineering,Antivirus,31
Japan,2017,MIM65,Healthcare,16.71 ," 3,93,738 ",Nation-state,Zero-day,Antivirus,69
UK,2019,ML345,Education,4.42 ," 3,93,748 ",Nation-state,Unpatched Software,AI-based Detection,10
Germany,2023,RWS34,Healthcare,54.79 ," 3,93,779 ",Nation-state,Weak Passwords,Encryption,39
China,2017,DD678,IT,17.49 ," 3,94,109 ",Unknown,Unpatched Software,AI-based Detection,37
China,2024,SI657,Education,13.61 ," 3,94,335 ",Unknown,Zero-day,Encryption,43
Germany,2020,PH01,Healthcare,38.12 ," 3,94,577 ",Nation-state,Unpatched Software,Encryption,33
Russia,2021,DD678,Education,18.47 ,"  3,94,957  ",Hacker Group,Weak Passwords,Antivirus,27
China,2017,PH01,Retail,45.83 ," 3,95,251 ",Unknown,Unpatched Software,Encryption,33
India,2018,ML345,Education,99.09 ," 3,95,264 ",Unknown,Weak Passwords,Antivirus,5
Germany,2016,PH01,Government,93.61 ," 3,95,731 ",Insider,Unpatched Software,AI-based Detection,64
UK,2021,PH01,IT,68.50 ,"  3,96,839  ",Hacker Group,Zero-day,Encryption,60
Australia,2023,RWS34,Retail,41.54 ," 3,96,865 ",Insider,Social Engineering,AI-based Detection,42
Germany,2017,ML345,Healthcare,49.09 ,"  3,97,361  ",Hacker Group,Weak Passwords,Encryption,57
UK,2023,DD678,Telecommunications,81.91 ,"  3,97,687  ",Hacker Group,Social Engineering,VPN,65
India,2023,RWS34,Banking,83.18 ," 3,97,813 ",Nation-state,Social Engineering,Antivirus,12
Germany,2022,PH01,Banking,31.73 ," 3,97,919 ",Nation-state,Social Engineering,Encryption,22
Germany,2018,SI657,Education,84.27 ," 3,99,014 ",Nation-state,Zero-day,Firewall,52
France,2019,SI657,Telecommunications,27.91 ," 3,99,457 ",Nation-state,Weak Passwords,Firewall,48
China,2015,DD678,Government,97.15 ," 3,99,851 ",Nation-state,Social Engineering,VPN,38
Brazil,2019,DD678,Healthcare,42.16 ," 4,00,214 ",Unknown,Zero-day,Firewall,58
India,2022,ML345,Healthcare,38.89 ," 4,00,752 ",Insider,Unpatched Software,Antivirus,36
France,2018,SI657,Government,80.06 ," 4,00,807 ",Unknown,Weak Passwords,Firewall,67
France,2024,SI657,Healthcare,5.70 ," 4,00,840 ",Insider,Social Engineering,VPN,57
India,2018,PH01,IT,13.05 ," 4,00,964 ",Nation-state,Weak Passwords,VPN,19
Australia,2020,MIM65,Healthcare,56.14 ,"  4,01,178  ",Hacker Group,Unpatched Software,Encryption,43
Russia,2018,MIM65,Telecommunications,30.50 ,"  4,01,208  ",Hacker Group,Unpatched Software,VPN,10
Japan,2018,PH01,IT,72.01 ," 4,01,960 ",Nation-state,Unpatched Software,VPN,44
UK,2020,PH01,Telecommunications,43.72 ," 4,02,744 ",Insider,Zero-day,AI-based Detection,65
India,2017,SI657,Government,40.98 ," 4,02,855 ",Insider,Social Engineering,AI-based Detection,26
Japan,2017,PH01,IT,73.85 ," 4,02,903 ",Insider,Zero-day,Encryption,55
USA,2017,DD678,IT,74.12 ,"  4,03,108  ",Hacker Group,Zero-day,VPN,64
Germany,2023,SI657,Healthcare,14.12 ,"  4,03,325  ",Hacker Group,Weak Passwords,AI-based Detection,35
India,2020,RWS34,IT,70.91 ,"  4,03,494  ",Hacker Group,Social Engineering,Firewall,3
India,2016,RWS34,Retail,29.48 ," 4,03,737 ",Insider,Zero-day,Firewall,26
Brazil,2017,MIM65,Government,68.03 ,"  4,03,770  ",Hacker Group,Weak Passwords,Encryption,22
Russia,2023,ML345,IT,47.22 ," 4,04,004 ",Nation-state,Social Engineering,Encryption,58
UK,2018,ML345,Retail,73.18 ," 4,04,060 ",Unknown,Weak Passwords,Antivirus,32
Australia,2021,MIM65,Healthcare,86.29 ," 4,04,595 ",Unknown,Social Engineering,AI-based Detection,3
India,2022,ML345,Telecommunications,97.03 ,"  4,04,834  ",Hacker Group,Zero-day,VPN,62
Russia,2020,MIM65,Telecommunications,10.12 ,"  4,05,253  ",Hacker Group,Unpatched Software,Antivirus,52
France,2020,ML345,Government,10.62 ," 4,05,267 ",Nation-state,Unpatched Software,AI-based Detection,5
Germany,2017,DD678,Telecommunications,15.01 ," 4,06,483 ",Insider,Weak Passwords,Antivirus,62
Australia,2020,MIM65,Banking,56.34 ," 4,07,084 ",Unknown,Unpatched Software,Firewall,11
Germany,2022,PH01,Banking,14.79 ," 4,07,151 ",Unknown,Weak Passwords,Antivirus,37
UK,2015,PH01,IT,15.27 ," 4,07,233 ",Insider,Unpatched Software,Antivirus,72
Japan,2019,MIM65,Education,1.72 ," 4,07,485 ",Insider,Unpatched Software,AI-based Detection,22
Germany,2019,SI657,Government,96.91 ," 4,08,103 ",Nation-state,Unpatched Software,Firewall,27
UK,2021,PH01,Banking,44.70 ," 4,08,446 ",Insider,Social Engineering,VPN,43
India,2024,MIM65,Telecommunications,93.46 ," 4,09,281 ",Nation-state,Weak Passwords,Antivirus,18
Japan,2023,RWS34,Healthcare,33.66 ," 4,10,385 ",Unknown,Zero-day,Encryption,71
Australia,2024,DD678,Retail,28.16 ," 4,11,083 ",Unknown,Weak Passwords,Firewall,30
USA,2019,DD678,Retail,18.76 ," 4,11,707 ",Insider,Social Engineering,VPN,42
Australia,2016,DD678,Healthcare,98.25 ," 4,12,019 ",Unknown,Weak Passwords,Antivirus,34
USA,2019,ML345,Healthcare,57.85 ," 4,12,236 ",Nation-state,Weak Passwords,Antivirus,36
China,2024,DD678,IT,61.42 ," 4,12,245 ",Nation-state,Social Engineering,Encryption,48
China,2016,DD678,IT,67.28 ,"  4,13,150  ",Hacker Group,Social Engineering,Firewall,27
UK,2022,RWS34,Healthcare,75.67 ,"  4,13,293  ",Hacker Group,Zero-day,Antivirus,27
Russia,2024,MIM65,Banking,93.13 ," 4,14,192 ",Nation-state,Weak Passwords,Firewall,34
UK,2021,MIM65,Education,40.98 ," 4,14,340 ",Insider,Unpatched Software,AI-based Detection,10
Brazil,2018,PH01,Healthcare,2.52 ," 4,14,899 ",Unknown,Weak Passwords,Encryption,37
France,2018,RWS34,Education,32.50 ," 4,14,904 ",Nation-state,Unpatched Software,VPN,53
Australia,2024,RWS34,Government,3.37 ,"  4,14,907  ",Hacker Group,Zero-day,Firewall,42
Russia,2016,ML345,Retail,61.39 ,"  4,15,274  ",Hacker Group,Weak Passwords,Encryption,40
India,2021,MIM65,Telecommunications,71.64 ," 4,16,077 ",Insider,Social Engineering,VPN,39
UK,2018,MIM65,Education,81.01 ," 4,16,149 ",Insider,Unpatched Software,Antivirus,56
India,2015,MIM65,Education,79.89 ," 4,16,328 ",Nation-state,Zero-day,Encryption,55
India,2018,MIM65,Healthcare,56.88 ,"  4,16,331  ",Hacker Group,Unpatched Software,Encryption,62
UK,2023,MIM65,Banking,15.01 ," 4,16,522 ",Insider,Social Engineering,VPN,63
UK,2017,PH01,Telecommunications,27.08 ," 4,16,833 ",Insider,Social Engineering,VPN,9
China,2016,PH01,Government,59.95 ," 4,17,253 ",Insider,Weak Passwords,VPN,16
Russia,2018,PH01,Government,14.98 ,"  4,17,488  ",Hacker Group,Weak Passwords,Encryption,23
China,2023,ML345,Education,37.07 ," 4,17,554 ",Insider,Unpatched Software,Antivirus,35
Australia,2018,SI657,IT,65.08 ," 4,17,807 ",Insider,Social Engineering,Firewall,46
India,2017,DD678,IT,70.09 ," 4,17,831 ",Unknown,Unpatched Software,Encryption,36
France,2023,DD678,Retail,92.32 ," 4,18,211 ",Insider,Unpatched Software,Encryption,39
Germany,2024,RWS34,Education,11.81 ," 4,18,893 ",Insider,Social Engineering,Firewall,31
Japan,2015,ML345,Banking,2.63 ," 4,18,914 ",Nation-state,Unpatched Software,Firewall,53
Australia,2015,DD678,IT,61.01 ," 4,19,127 ",Unknown,Social Engineering,Firewall,26
Germany,2015,RWS34,Telecommunications,99.83 ,"  4,19,344  ",Hacker Group,Zero-day,Firewall,59
USA,2020,RWS34,Retail,38.02 ," 4,19,557 ",Unknown,Weak Passwords,Antivirus,2
France,2024,DD678,Government,86.65 ," 4,19,571 ",Nation-state,Zero-day,AI-based Detection,72
Germany,2022,MIM65,Telecommunications,0.54 ," 4,19,912 ",Nation-state,Zero-day,AI-based Detection,40
India,2017,SI657,Government,20.21 ," 4,21,023 ",Insider,Unpatched Software,Encryption,72
India,2023,SI657,Banking,48.53 ," 4,21,083 ",Insider,Unpatched Software,AI-based Detection,28
China,2023,MIM65,Healthcare,48.71 ," 4,21,191 ",Nation-state,Unpatched Software,Firewall,62
UK,2024,SI657,Retail,48.33 ," 4,22,592 ",Nation-state,Unpatched Software,VPN,37
Brazil,2023,ML345,Telecommunications,62.77 ," 4,22,623 ",Nation-state,Zero-day,AI-based Detection,55
UK,2019,MIM65,Banking,76.03 ," 4,22,890 ",Insider,Social Engineering,VPN,4
India,2018,DD678,Telecommunications,47.50 ," 4,23,071 ",Unknown,Unpatched Software,Antivirus,69
India,2018,SI657,Education,77.02 ," 4,24,342 ",Unknown,Social Engineering,Antivirus,57
India,2023,MIM65,Retail,95.66 ," 4,24,762 ",Insider,Unpatched Software,VPN,10
China,2021,RWS34,Retail,12.97 ," 4,25,647 ",Unknown,Zero-day,Antivirus,4
USA,2019,DD678,Telecommunications,12.13 ,"  4,26,349  ",Hacker Group,Unpatched Software,Encryption,44
Germany,2023,SI657,Banking,94.48 ," 4,26,499 ",Unknown,Unpatched Software,VPN,37
France,2023,MIM65,Retail,88.65 ,"  4,27,067  ",Hacker Group,Unpatched Software,Antivirus,42
France,2022,ML345,Education,70.46 ," 4,27,144 ",Unknown,Social Engineering,Firewall,42
France,2015,PH01,Retail,44.29 ," 4,27,167 ",Insider,Unpatched Software,Encryption,11
Australia,2020,MIM65,Banking,34.59 ," 4,27,407 ",Unknown,Unpatched Software,Encryption,47
Australia,2017,MIM65,IT,30.51 ,"  4,28,352  ",Hacker Group,Unpatched Software,Firewall,41
Germany,2023,SI657,Healthcare,45.85 ,"  4,28,415  ",Hacker Group,Zero-day,Antivirus,69
USA,2015,MIM65,Government,47.76 ," 4,28,556 ",Unknown,Weak Passwords,Antivirus,15
UK,2019,PH01,IT,75.31 ," 4,28,615 ",Unknown,Social Engineering,AI-based Detection,66
India,2019,RWS34,Telecommunications,32.08 ," 4,29,224 ",Unknown,Social Engineering,AI-based Detection,56
USA,2022,SI657,Government,98.46 ,"  4,29,452  ",Hacker Group,Weak Passwords,Antivirus,6
Australia,2016,RWS34,Telecommunications,27.17 ,"  4,29,456  ",Hacker Group,Social Engineering,VPN,28
Brazil,2020,RWS34,Banking,99.90 ," 4,29,566 ",Nation-state,Zero-day,AI-based Detection,54
Japan,2015,PH01,Banking,87.50 ," 4,29,920 ",Nation-state,Zero-day,Encryption,37
India,2017,ML345,Healthcare,66.29 ," 4,30,200 ",Unknown,Zero-day,Antivirus,48
Japan,2024,ML345,Telecommunications,30.66 ," 4,30,306 ",Nation-state,Weak Passwords,VPN,67
India,2024,ML345,IT,92.08 ,"  4,30,701  ",Hacker Group,Unpatched Software,VPN,54
China,2018,MIM65,Healthcare,11.74 ," 4,30,760 ",Nation-state,Unpatched Software,Firewall,63
China,2021,SI657,IT,98.57 ," 4,30,792 ",Insider,Weak Passwords,Antivirus,9
Russia,2020,RWS34,Education,65.73 ," 4,31,174 ",Unknown,Weak Passwords,Encryption,24
Germany,2016,DD678,Telecommunications,33.26 ," 4,31,262 ",Insider,Unpatched Software,VPN,34
Germany,2021,ML345,Retail,43.99 ," 4,31,678 ",Insider,Unpatched Software,Encryption,60
India,2020,SI657,Government,42.81 ,"  4,32,917  ",Hacker Group,Unpatched Software,AI-based Detection,53
Japan,2018,SI657,Education,11.28 ,"  4,33,618  ",Hacker Group,Social Engineering,Antivirus,59
Brazil,2017,RWS34,Healthcare,32.90 ," 4,33,987 ",Unknown,Zero-day,AI-based Detection,21
Australia,2021,ML345,Telecommunications,77.63 ," 4,34,446 ",Unknown,Social Engineering,Encryption,28
France,2021,SI657,Telecommunications,52.67 ," 4,34,504 ",Unknown,Social Engineering,AI-based Detection,46
Brazil,2023,SI657,Healthcare,72.90 ,"  4,34,510  ",Hacker Group,Social Engineering,Firewall,72
Australia,2018,ML345,Healthcare,82.65 ," 4,34,626 ",Unknown,Social Engineering,AI-based Detection,29
China,2018,DD678,Telecommunications,83.50 ," 4,34,797 ",Insider,Social Engineering,Antivirus,21
Brazil,2020,PH01,Banking,21.65 ,"  4,34,936  ",Hacker Group,Zero-day,Encryption,24
UK,2015,ML345,IT,82.45 ," 4,35,994 ",Nation-state,Unpatched Software,Encryption,51
France,2017,SI657,Healthcare,18.75 ," 4,36,009 ",Nation-state,Social Engineering,AI-based Detection,44
Brazil,2017,ML345,Telecommunications,6.09 ," 4,36,100 ",Unknown,Zero-day,Encryption,12
India,2020,SI657,Telecommunications,17.47 ," 4,36,517 ",Nation-state,Weak Passwords,Antivirus,61
Germany,2018,PH01,Banking,88.73 ," 4,36,597 ",Insider,Unpatched Software,AI-based Detection,33
Australia,2022,ML345,Government,4.50 ," 4,36,928 ",Unknown,Social Engineering,Antivirus,34
Australia,2018,ML345,Education,21.39 ,"  4,37,056  ",Hacker Group,Zero-day,AI-based Detection,52
Brazil,2018,ML345,Healthcare,52.87 ," 4,37,283 ",Insider,Zero-day,Antivirus,30
Japan,2024,ML345,Telecommunications,49.88 ," 4,37,357 ",Unknown,Weak Passwords,AI-based Detection,56
India,2017,MIM65,Telecommunications,32.40 ," 4,37,554 ",Insider,Weak Passwords,Firewall,19
Brazil,2021,SI657,Healthcare,54.59 ," 4,37,634 ",Unknown,Weak Passwords,AI-based Detection,29
Japan,2021,RWS34,Government,79.25 ,"  4,37,649  ",Hacker Group,Weak Passwords,Firewall,10
Brazil,2017,PH01,Banking,9.25 ,"  4,37,974  ",Hacker Group,Zero-day,Encryption,20
India,2020,MIM65,Telecommunications,57.89 ," 4,38,137 ",Unknown,Unpatched Software,VPN,18
India,2023,DD678,Healthcare,2.27 ,"  4,38,318  ",Hacker Group,Unpatched Software,AI-based Detection,39
France,2022,RWS34,Healthcare,40.36 ," 4,39,046 ",Insider,Social Engineering,VPN,42
UK,2019,ML345,Education,90.70 ," 4,40,178 ",Insider,Unpatched Software,VPN,15
France,2021,ML345,IT,33.84 ," 4,40,358 ",Nation-state,Social Engineering,Antivirus,5
Japan,2022,RWS34,Retail,71.26 ," 4,40,529 ",Insider,Weak Passwords,Encryption,20
USA,2019,DD678,Government,49.88 ," 4,41,744 ",Unknown,Weak Passwords,Firewall,40
Japan,2021,DD678,Telecommunications,94.23 ," 4,41,749 ",Nation-state,Unpatched Software,AI-based Detection,55
Japan,2020,PH01,Government,32.39 ," 4,42,923 ",Nation-state,Social Engineering,Encryption,57
Russia,2017,SI657,Banking,33.84 ," 4,42,940 ",Nation-state,Unpatched Software,AI-based Detection,7
Japan,2015,RWS34,Banking,6.57 ,"  4,43,408  ",Hacker Group,Weak Passwords,Encryption,71
USA,2023,ML345,Healthcare,54.29 ," 4,43,715 ",Unknown,Social Engineering,Antivirus,54
France,2018,RWS34,Government,2.79 ,"  4,43,730  ",Hacker Group,Weak Passwords,Antivirus,39
Russia,2017,RWS34,Education,88.90 ," 4,44,399 ",Insider,Zero-day,Encryption,38
India,2018,SI657,Telecommunications,15.96 ," 4,44,408 ",Unknown,Weak Passwords,AI-based Detection,64
Germany,2019,DD678,IT,71.08 ," 4,45,129 ",Insider,Unpatched Software,Antivirus,19
Germany,2019,MIM65,Government,75.37 ,"  4,45,254  ",Hacker Group,Unpatched Software,VPN,42
Brazil,2015,SI657,Healthcare,3.73 ," 4,45,422 ",Unknown,Unpatched Software,AI-based Detection,70
UK,2022,PH01,Retail,49.08 ,"  4,45,458  ",Hacker Group,Unpatched Software,Antivirus,36
Brazil,2018,ML345,Telecommunications,96.22 ," 4,45,546 ",Nation-state,Weak Passwords,Firewall,45
Russia,2024,PH01,Telecommunications,21.22 ,"  4,46,028  ",Hacker Group,Weak Passwords,VPN,37
India,2018,DD678,Government,36.04 ," 4,46,170 ",Insider,Unpatched Software,VPN,72
China,2023,MIM65,Telecommunications,28.82 ," 4,46,243 ",Unknown,Zero-day,Firewall,66
UK,2022,DD678,Education,79.60 ," 4,46,296 ",Unknown,Zero-day,AI-based Detection,4
UK,2022,DD678,IT,93.96 ," 4,46,331 ",Nation-state,Unpatched Software,AI-based Detection,17
Brazil,2017,SI657,Telecommunications,24.05 ," 4,46,378 ",Insider,Unpatched Software,Antivirus,59
Russia,2021,MIM65,Healthcare,28.34 ," 4,46,741 ",Nation-state,Weak Passwords,Firewall,20
Russia,2023,SI657,Retail,34.87 ," 4,46,911 ",Unknown,Weak Passwords,Firewall,25
Russia,2016,MIM65,Telecommunications,10.20 ," 4,46,917 ",Unknown,Unpatched Software,Firewall,1
USA,2016,PH01,Banking,38.58 ," 4,47,486 ",Insider,Weak Passwords,Encryption,7
UK,2021,RWS34,Telecommunications,13.26 ," 4,48,367 ",Nation-state,Social Engineering,AI-based Detection,7
USA,2015,MIM65,Retail,24.93 ," 4,48,426 ",Nation-state,Weak Passwords,VPN,36
UK,2021,SI657,Healthcare,52.23 ,"  4,49,333  ",Hacker Group,Unpatched Software,Encryption,39
USA,2020,PH01,Government,37.66 ," 4,49,424 ",Unknown,Unpatched Software,Firewall,3
Russia,2022,RWS34,Retail,76.93 ," 4,49,596 ",Unknown,Unpatched Software,AI-based Detection,3
Australia,2020,DD678,Retail,31.36 ," 4,49,936 ",Insider,Weak Passwords,VPN,52
Australia,2017,PH01,Retail,56.10 ," 4,50,205 ",Unknown,Zero-day,Firewall,32
France,2018,ML345,IT,59.56 ," 4,50,313 ",Nation-state,Zero-day,AI-based Detection,26
France,2019,MIM65,Healthcare,39.48 ," 4,50,466 ",Unknown,Unpatched Software,VPN,52
UK,2023,MIM65,Government,48.19 ," 4,50,891 ",Nation-state,Social Engineering,Encryption,32
Brazil,2024,MIM65,Education,8.94 ," 4,51,311 ",Unknown,Weak Passwords,Encryption,14
